Site,Rep,wt_p_berry,rot_pct,yield_per_ac_barrel,yield_p_ha_barrel,yield_p_ac_kg,yield_p_ac_lb,tacy,absorbance
1,1,1.826615385,24.85549133,228.0405488,25549.08127,10343.7576,22804.05488,29,0.25
1,2,1.898318584,34.30232558,206.0009186,23079.81733,9344.0556,20600.09186,29,0.25
1,3,1.888,33.49753695,244.7695405,27423.35482,11102.5728,24476.95405,37,0.32
1,4,1.669180328,35.44973545,195.5621046,21910.27925,8870.5584,19556.21046,36,0.31
1,5,1.850520833,40,170.6030637,19113.93198,7738.434,17060.30637,17,0.15
12,1,1.75755102,9.259259259,165.407665,18531.85277,7502.7744,16540.7665,20,0.17
12,2,1.964782609,16.66666667,216.987122,24310.68354,9842.382,21698.7122,24,0.21
12,3,1.814923077,5.797101449,226.5808434,25385.53961,10277.5464,22658.08434,19,0.16
12,4,1.714186047,11.03448276,212.3583195,23792.08432,9632.4228,21235.83195,15,0.13
12,5,2.031521739,26.4,179.486139,20109.16908,8141.364,17948.6139,21,0.18
13,1,2.081655172,27.86069652,289.8667533,32475.93149,13148.1504,28986.67533,15,0.13
13,2,2.102123894,28.93081761,228.1173754,25557.68873,10347.2424,22811.73754,16,0.14
13,3,2.111657143,13.36633663,354.8812617,39759.99113,16097.1624,35488.12617,12,0.1
13,4,2.146,13.51351351,329.7397576,36943.20115,14956.7616,32973.97576,12,0.1
13,5,2.10795082,5.426356589,246.9687018,27669.74324,11202.3252,24696.87018,12,0.1
14,1,1.637477477,20.14388489,174.5500301,19556.14003,7917.4656,17455.00301,14,0.12
14,2,1.488070175,17.98561151,162.9108006,18252.11045,7389.5184,16291.08006,14,0.12
14,3,1.584931507,37.06896552,111.110467,12448.53324,5039.892,11111.0467,12,0.1
14,4,1.577818182,25.17006803,166.6753038,18673.87579,7560.2736,16667.53038,12,0.1
14,5,1.605656566,30.28169014,152.6544497,17103.01507,6924.2976,15265.44497,13,0.11
17,1,1.769888889,21.05263158,152.9713595,17138.52083,6938.6724,15297.13595,16,0.14
17,2,1.78875,15.78947368,109.9388614,12317.26954,4986.7488,10993.88614,10,0.09
17,3,1.571428571,20.6185567,116.2002291,13018.7772,5270.76,11620.02291,16,0.14
17,4,1.882300885,25.16556291,204.2627168,22885.07364,9265.212,20426.27168,10,0.09
17,5,1.732736842,22.76422764,158.0803282,17710.91665,7170.4116,15808.03282,14,0.12
18,1,1.958651685,5.319148936,334.810313,37511.29325,15186.7584,33481.0313,38,0.33
18,2,1.970361446,7.777777778,157.0527725,17595.79193,7123.8024,15705.27725,28,0.24
18,3,2.249761905,7.692307692,181.4836306,20332.96294,8231.9688,18148.36306,30,0.26
18,4,2.003576642,6.802721088,263.6016602,29533.25747,11956.7844,26360.16602,20,0.17
18,5,1.988866995,11.73913043,387.7246322,43439.67857,17586.9144,38772.46322,26,0.22
19,1,1.707037037,26.36363636,132.7851709,14876.91176,6023.0412,13278.51709,23,0.2
19,2,1.497560976,51.76470588,58.96441378,6606.22248,2674.584,5896.441378,22,0.19
19,3,1.838571429,45.09803922,98.87583132,11077.79587,4484.9376,9887.583132,9,0.08
19,4,1.683389831,40.4040404,95.38022112,10686.15662,4326.3792,9538.022112,9,0.08
19,5,1.492916667,46.66666667,68.81742494,7710.128712,3121.5096,6881.742494,17,0.15
2,1,1.76959596,30.76923077,168.2406458,18849.25271,7631.2764,16824.06458,23,0.19
2,2,1.941443299,43.93063584,180.8498111,20261.95142,8203.2192,18084.98111,26,0.22
2,3,1.960266667,25,141.18808,15818.35226,6404.1912,14118.808,21,0.18
2,4,1.871898734,36.8,142.013966,15910.88242,6441.6528,14201.3966,29,0.25
2,5,2.113145161,21.51898734,251.6359176,28192.6462,11414.0268,25163.59176,27,0.23
20,1,1.813970588,25.27472527,118.4570104,13271.62122,5373.126,11845.70104,21,0.18
20,2,1.844114286,1.685393258,309.9184954,34722.4775,14057.6832,30991.84954,19,0.16
20,3,1.967293233,1.481481481,251.2709913,28151.76078,11397.474,25127.09913,15,0.13
20,4,1.949754601,8.938547486,305.2032629,34194.19489,13843.8036,30520.32629,21,0.18
20,5,1.952671756,14.37908497,245.6530463,27522.34056,11142.648,24565.30463,21,0.18
21,1,1.99525,30.63583815,229.9324038,25761.03988,10429.5708,22993.24038,16,0.14
21,2,2.208333333,13.46153846,190.8660788,21384.1485,8657.55,19086.60788,14,0.12
21,3,1.871486486,11.9047619,265.9928881,29801.16454,12065.2488,26599.28881,14,0.12
21,4,1.995681818,55.55555556,168.6535887,18895.51778,7650.0072,16865.35887,27,0.23
21,5,2.129230769,13.33333333,186.0740198,20847.25843,8440.1856,18607.40198,12,0.1
22,1,1.567852761,61.46572104,245.4225665,27496.51819,11132.1936,24542.25665,22,0.19
22,2,1.733975155,9.039548023,268.0960162,30036.79364,12160.6452,26809.60162,19,0.16
22,3,1.480897436,7.692307692,221.8560077,24856.18106,10063.2312,22185.60077,24,0.21
22,4,1.595853659,3.149606299,188.5036609,21119.46923,8550.3924,18850.36609,19,0.16
22,5,1.531888112,10.06289308,210.3704313,23569.36639,9542.2536,21037.04313,23,0.2
23,1,1.733655914,8.823529412,309.6688089,34694.50327,14046.3576,30966.88089,27,0.23
23,2,1.792751678,6.875,256.5240099,28740.29558,11635.7472,25652.40099,24,0.21
23,3,1.761916667,6.976744186,203.0430946,22748.43028,9209.8908,20304.30946,28,0.24
23,4,1.671205674,5.369127517,226.2927437,25353.26165,10264.4784,22629.27437,20,0.17
23,5,1.683451327,3.418803419,182.6840461,20467.45444,8286.4188,18268.40461,27,0.23
24,1,1.488296703,16.89497717,260.1252567,29143.77008,11799.0972,26012.52567,24,0.21
24,2,1.572987805,20.77294686,247.7369678,27755.8178,11237.1732,24773.69678,15,0.13
24,3,1.54144385,15,276.8158351,31013.7399,12556.17,27681.58351,20,0.17
24,4,1.578923077,12.16216216,295.6767648,33126.87035,13411.6884,29567.67648,16,0.14
24,5,1.596434109,22.75449102,197.7708693,22157.74361,8970.7464,19777.08693,29,0.25
3,1,2.16552,0.793650794,259.9523968,29124.40331,11791.2564,25995.23968,33,0.28
3,2,1.677348066,5.235602094,291.5569385,32665.29552,13224.816,29155.69385,24,0.21
3,3,1.552371134,3,144.6068636,16201.38406,6559.2648,14460.68636,43,0.37
3,4,1.685447154,3.149606299,199.0865248,22305.14629,9030.4236,19908.65248,30,0.26
3,5,1.741147541,8.5,305.9907356,34282.42132,13879.5228,30599.07356,35,0.3
4,1,1.72952381,22.93577982,139.5171015,15631.1401,6328.3968,13951.71015,43,0.37
4,2,1.83547486,21.49122807,315.5172337,35349.74586,14311.638,31551.72337,37,0.32
4,3,1.791030928,23.01587302,166.8385604,18692.16664,7567.6788,16683.85604,51,0.44
4,4,1.861792453,5.357142857,189.5216133,21233.51802,8596.566,18952.16133,44,0.38
4,5,1.632666667,17.58241758,117.5927112,13174.78734,5333.922,11759.27112,34,0.29
5,1,1.999116022,9.950248756,347.4867017,38931.52349,15761.7504,34748.67017,35,0.3
5,2,1.724487179,12.84916201,258.3486416,28944.72266,11718.5112,25834.86416,37,0.32
5,3,1.659215686,3.773584906,243.7900013,27313.60975,11058.1416,24379.00013,48,0.41
5,4,1.77950495,39.52095808,172.6005552,19337.72584,7829.0388,17260.05552,31,0.27
5,5,1.881650485,6.363636364,186.1220364,20852.63809,8442.3636,18612.20364,34,0.29
6,1,1.615246914,14.28571429,251.2901979,28153.91264,11398.3452,25129.01979,22,0.19
6,2,1.479534884,17.30769231,122.1927037,13690.15877,5542.5744,12219.27037,27,0.23
6,3,1.393023256,16.23376623,172.5717452,19334.49804,7827.732,17257.17452,19,0.16
6,4,1.67056,23.7804878,200.5366268,22467.61202,9096.1992,20053.66268,21,0.18
6,5,1.856565657,22.65625,176.5091084,19775.63016,8006.328,17650.91084,22,0.19
7,1,1.630862069,9.375,181.6756971,20354.48158,8240.6808,18167.56971,29,0.25
7,2,1.54046875,5.185185185,189.3583568,21215.22718,8589.1608,18935.83568,56,0.48
7,3,1.815648148,10.74380165,188.3115944,21097.95059,8541.6804,18831.15944,35,0.3
7,4,0.931176471,4.225352113,60.80825213,6812.801424,2758.2192,6080.825213,33,0.28
7,5,1.27703125,4.47761194,78.48797294,8793.592236,3560.1588,7848.797294,31,0.27
9,1,1.5234,5.063291139,219.4455732,24586.12213,9953.8956,21944.55732,34,0.29
9,2,1.385437956,17.22054381,364.5518097,40843.45465,16535.8116,36455.18097,23,0.2
9,3,1.571990521,21.56133829,318.5326776,35687.58851,14448.4164,31853.26776,34,0.29
9,4,1.579661017,12.59259259,179.0059728,20055.37248,8119.584,17900.59728,38,0.33
9,5,1.600925926,13.82978723,249.0622266,27904.29642,11297.286,24906.22266,27,0.23
